aX,aY,aZ,gX,gY,gZ
-0.558,0.436,-0.340,37.590,-16.380,66.080
-0.557,0.448,-0.366,29.050,-20.370,59.710
-0.587,0.450,-0.419,22.820,-20.440,52.080
-0.616,0.479,-0.440,20.090,-22.330,46.760
-0.659,0.505,-0.480,21.000,-25.270,43.400
-0.688,0.514,-0.523,27.160,-29.400,42.140
-0.719,0.498,-0.569,33.600,-29.680,41.020
-0.755,0.475,-0.597,37.800,-26.880,39.410
-0.767,0.466,-0.590,38.290,-22.260,35.770
-0.767,0.438,-0.592,37.800,-21.910,35.280
-0.809,0.418,-0.614,35.560,-20.860,36.960
-0.863,0.377,-0.611,29.470,-24.850,35.000
-0.805,0.355,-0.630,27.650,-17.080,32.270
-0.878,0.447,-0.475,22.470,-18.410,34.090
-0.805,0.471,-0.772,38.710,-13.930,33.880
-0.874,0.389,-0.639,26.180,-11.620,25.970
-0.998,0.454,-0.641,23.940,-11.130,25.270
-0.890,0.447,-0.661,25.200,-14.700,17.920
-0.843,0.363,-0.662,8.400,-14.280,8.050
-0.927,0.415,-0.591,2.310,-13.580,4.620
-0.957,0.443,-0.553,-1.190,-12.600,1.050
-0.982,0.427,-0.541,-2.940,-10.150,-0.490
-0.977,0.402,-0.506,-6.300,-8.540,-4.550
-0.966,0.401,-0.489,-9.520,-6.440,-7.490
-0.984,0.394,-0.494,-10.220,-4.970,-7.770
-0.957,0.366,-0.508,-11.760,-4.690,-7.980
-0.941,0.339,-0.519,-14.840,-3.220,-8.540
-0.945,0.297,-0.530,-19.250,-1.120,-9.730
-0.920,0.268,-0.539,-23.100,-1.260,-9.730
-0.893,0.257,-0.551,-25.830,-0.630,-10.150
-0.897,0.251,-0.553,-27.090,1.190,-10.850

0.752,-0.812,-0.956,10.640,110.880,-125.440
0.749,-0.782,-0.962,3.290,102.760,-121.730
0.750,-0.784,-0.964,-1.890,95.900,-117.390
0.742,-0.780,-0.949,-3.080,87.010,-112.630
0.724,-0.813,-0.958,-3.780,82.320,-107.170
0.696,-0.825,-0.965,-5.110,79.100,-100.800
0.688,-0.828,-0.982,-6.510,75.740,-93.870
0.675,-0.799,-1.005,-6.440,72.660,-84.490
0.644,-0.785,-1.027,-5.950,69.580,-77.700
0.630,-0.773,-1.041,-5.460,66.430,-71.680
0.619,-0.762,-1.040,-5.180,62.930,-66.850
0.627,-0.786,-1.041,-5.600,56.770,-62.580
0.618,-0.795,-1.042,-6.300,52.290,-58.870
0.602,-0.804,-1.052,-7.140,47.670,-55.370
0.597,-0.810,-1.055,-7.420,42.770,-51.940
0.595,-0.806,-1.068,-6.370,38.780,-46.410
0.582,-0.797,-1.084,-4.970,35.840,-42.140
0.574,-0.789,-1.092,-2.590,32.830,-37.170
0.568,-0.784,-1.094,-0.070,30.170,-32.130
0.566,-0.787,-1.104,1.120,26.530,-27.580
